MICROX 8 v1.1 (© 10/99 by PreSens)	10/24/2000	1:41:51 PM						
8:51:53 AM 2:28:33 PM	43.93	2526	0	6.5	41.09	2639	0	16.1
8:55:55 AM 2:28:35 PM	44.06	2525	0	5.6	40.99	2639	0	16.9
8:59:55 AM 2:28:37 PM	44.05	2522	0	5.7	40.85	2636	0	18
9:03:56 AM 2:28:39 PM	43.87	2522	1	6.9	41.1	2646	3	16
9:07:57 AM 2:28:41 PM	43.95	2523	2	6.3	41.2	2652	3	15.3
9:11:58 AM 2:28:43 PM	44.12	2526	2	5.2	41.16	2652	3	15.6
9:15:59 AM 2:28:45 PM	43.98	2523	2	6.2	41.03	2656	3	16.6
9:20:00 AM 2:28:47 PM	43.96	2521	2	6.3	41.1	2652	3	16
9:24:01 AM 2:28:49 PM	43.92	2528	2	6.6	41.16	2654	3	15.6
9:28:02 AM 2:28:51 PM	44.02	2530	2	5.9	41.09	2652	3	16.2
9:32:03 AM 2:28:53 PM	44.02	2530	2	5.9	41.07	2655	3	16.3
9:36:04 AM 2:28:55 PM	43.95	2531	2	6.4	41.1	2660	3	16
9:40:05 AM 2:28:57 PM	44.11	2530	2	5.3	41.14	2656	3	15.7
9:44:06 AM 2:28:59 PM	44.02	2532	2	5.9	41.23	2662	3	15
9:48:07 AM 2:29:01 PM	43.97	2529	2	6.2	41.05	2656	3	16.4
9:52:07 AM 2:29:03 PM	43.92	2530	2	6.6	41.21	2665	3	15.2
9:56:08 AM 2:29:05 PM	44.09	2536	2	5.4	41.2	2665	3	15.2
10:00:10 AM 2:29:07 PM	43.97	2536	2	6.2	41.15	2664	3	15.6
10:04:10 AM 2:29:09 PM	43.93	2539	2	6.5	41.15	2673	3	15.6
10:08:11 AM 2:29:11 PM	43.89	2544	2	6.8	41.29	2665	3	14.6
10:12:12 AM 2:29:13 PM	44.12	2540	2	5.2	41.13	2667	3	15.8
10:16:13 AM 2:29:15 PM	43.9	2536	2	6.7	41.13	2673	3	15.8
10:20:14 AM 2:29:17 PM	44.11	2537	2	5.3	41.23	2675	3	15
10:24:15 AM 2:29:19 PM	44.06	2542	2	5.6	41.18	2670	3	15.4
10:28:16 AM 2:29:21 PM	44.06	2536	2	5.6	41.41	2674	3	13.7
10:32:17 AM 2:29:23 PM	44.09	2538	2	5.4	41.15	2674	3	15.7
10:36:18 AM 2:29:25 PM	44.08	2537	2	5.5	41.29	2672	3	14.6
10:40:19 AM 2:29:27 PM	44.02	2543	2	5.9	41.29	2670	3	14.6
10:44:20 AM 2:29:29 PM	44.01	2538	2	6	41.31	2674	3	14.4
10:48:21 AM 2:29:31 PM	44.12	2542	2	5.2	41.18	2674	3	15.4
10:52:22 AM 2:29:33 PM	43.92	2539	2	6.6	41.36	2682	3	14
10:56:22 AM 2:29:35 PM	44.08	2543	2	5.5	41.26	2668	3	14.8
11:00:23 AM 2:29:37 PM	43.98	2543	2	6.2	41.33	2672	3	14.3
11:04:25 AM 2:29:39 PM	44.09	2542	2	5.4	41.18	2669	4	15.5
11:08:25 AM 2:29:41 PM	44.12	2542	2	5.2	40.97	2656	4	17
11:12:26 AM 2:29:43 PM	33.63	2086	4	104.2	40.62	2639	4	19.8
11:16:27 AM 2:29:45 PM	43.97	2474	4	6.2	40.39	2634	3	21.6
11:20:28 AM 2:29:47 PM	44.13	2483	3	5.1	40.32	2635	3	22.2
11:24:29 AM 2:29:49 PM	44.1	2486	3	5.3	40.7	2643	3	19.1
11:28:30 AM 2:29:51 PM	44.02	2481	4	5.9	40.62	2645	3	19.8
11:32:31 AM 2:29:53 PM	43.96	2483	3	6.3	40.84	2645	2	18
11:38:35 AM 2:29:55 PM	44.17	2481	3	4.9	40.8	2650	1	18.4
11:42:36 AM 2:29:57 PM	44.08	2487	4	0.1	41.02	2653	4	16.7
11:46:37 AM 2:29:59 PM	32.03	1917	8	127.8	41.1	2659	4	16
11:50:38 AM 2:30:01 PM	32.37	1897	11	122.6	40.83	2643	4	18.1
11:54:39 AM 2:30:03 PM	32.09	1934	13	126.8	40.88	2656	4	17.8
11:58:40 AM 2:30:05 PM	29.82	1807	11	165.2	40.74	2643	4	18.8
12:02:41 PM 2:30:07 PM	33.47	1945	8	106.6	40.74	2645	4	18.8
12:06:42 PM 2:30:09 PM	33.66	1956	9	104	41.26	2667	4	14.8
12:10:43 PM 2:30:11 PM	33.64	1958	8	104.4	41.35	2667	2	14.1
12:14:44 PM 2:30:13 PM	33.66	1961	7	104	41.39	2677	2	13.8
12:18:45 PM 2:30:15 PM	33.69	1965	7	103.6	41.68	2687	2	11.6
12:22:46 PM 2:30:17 PM	33.73	1968	7	103.1	41.43	2673	2	13.5
12:26:47 PM 2:30:19 PM	33.64	1963	7	104.3	41.41	2669	2	13.7
12:30:48 PM 2:30:21 PM	33.52	1963	7	105.9	41.42	2677	2	13.6
12:34:48 PM 2:30:23 PM	33.66	1962	7	104	41.53	2673	2	12.7
12:38:50 PM 2:30:25 PM	33.75	1963	7	102.7	42.05	2693	2	8.9
12:42:50 PM 2:30:27 PM	33.77	1962	7	102.5	41.98	2695	2	9.4
12:46:51 PM 2:30:29 PM	33.61	1964	7	104.7	42.01	2704	2	9.2
12:50:52 PM 2:30:31 PM	33.71	1967	7	103.4	42.35	2716	2	6.7
12:54:53 PM 2:30:33 PM	33.66	1968	7	104	42.16	2699	2	8.1
12:58:54 PM 2:30:35 PM	33.84	1970	7	101.6	41.8	2699	2	10.8
1:02:55 PM 2:30:37 PM	33.72	1967	7	103.1	42.15	2715	2	8.2
1:06:56 PM 2:30:39 PM	33.8	1971	7	102.2	42.34	2720	2	6.8
1:10:57 PM 2:30:41 PM	33.76	1967	7	102.6	42.97	2740	2	2.3
1:14:58 PM 2:30:43 PM	33.64	1969	7	104.2	42.82	2742	2	3.4
1:18:59 PM 2:30:45 PM	33.77	1971	7	102.5	42.74	2740	2	4
1:23:00 PM 2:30:47 PM	33.8	1968	7	102.2	42.72	2741	2	4.1
1:27:01 PM 2:30:49 PM	33.67	1974	7	103.9	42.93	2745	2	2.6
1:32:49 PM 2:30:51 PM	33.71	1972	7	103.3	43.04	2749	2	1.8
1:36:50 PM 2:30:53 PM	33.83	1966	7	97.3	42.74	2742	2	3.9
1:40:51 PM 2:30:55 PM	33.87	1975	8	96.7	42.98	2749	2	2.3
1:44:52 PM 2:30:57 PM	33.83	1972	7	97.3	42.98	2752	2	2.2
1:48:53 PM 2:30:59 PM	33.35	1987	9	103.6	41.27	2661	3	14.8
1:52:54 PM 2:31:01 PM	32.86	1990	7	110.3	41.27	2666	2	14.7
1:56:55 PM 2:31:03 PM	33.64	2044	7	99.7	40.86	2651	2	17.9
2:00:56 PM 2:31:05 PM	33.79	2044	7	97.8	40.99	2655	2	16.9
2:04:57 PM 2:31:07 PM	33.97	2054	7	95.5	41.09	2667	2	16.1
2:08:58 PM 2:31:09 PM	34.11	2069	7	93.8	41.3	2665	2	14.5
2:12:59 PM 2:31:11 PM	34.31	2082	7	91.2	41.24	2665	2	15
2:17:00 PM 2:31:13 PM	34.53	2078	7	88.4	41.5	2673	2	13
2:21:01 PM 2:31:15 PM	34.31	2079	7	91.2	41.29	2672	2	14.6
2:25:02 PM 2:31:17 PM	34.3	2083	7	91.3	41.48	2671	2	13.2
2:29:03 PM 2:31:19 PM	34.5	2081	7	88.9	41.39	2674	2	13.8
2:33:04 PM 2:31:21 PM	34.54	2082	7	88.4	41.52	2670	2	12.9
2:37:04 PM 2:31:23 PM	34.73	2088	7	86.1	41.55	2667	2	12.6
2:41:05 PM 2:31:25 PM	34.29	2080	0	91.4	41.35	2679	0	14.1
2:45:07 PM 2:31:27 PM	34.86	2093	0	84.4	41.47	2674	0	13.2
2:49:07 PM 2:31:29 PM	34.67	2098	0	86.7	41.46	2676	0	13.3
2:53:08 PM 2:31:31 PM	34.69	2094	0	86.6	41.55	2679	0	12.6
2:57:09 PM 2:31:33 PM	34.58	2097	0	87.9	41.59	2678	0	12.3
3:01:10 PM 2:31:35 PM	34.55	2090	0	88.2	41.55	2681	0	12.6
3:05:11 PM 2:31:37 PM	34.54	2080	0	88.4	41.75	2681	0	11.1
3:09:12 PM 2:31:39 PM	34.16	2056	0	93.1	41.75	2675	0	11.1
3:13:13 PM 2:31:41 PM	34.2	2056	0	92.5	41.66	2679	0	11.8
3:17:14 PM 2:31:43 PM	34.06	2049	0	94.4	41.67	2684	0	11.7
3:21:15 PM 2:31:45 PM	34	2046	0	95.1	41.61	2685	0	12.1
3:25:16 PM 2:31:47 PM	34	2039	0	95.1	41.85	2688	0	10.4
3:29:17 PM 2:31:49 PM	34.03	2043	0	94.7	41.78	2683	0	10.9
3:33:18 PM 2:31:51 PM	34.05	2047	0	94.5	41.99	2683	0	9.3
3:37:19 PM 2:31:53 PM	34.25	2046	0	91.9	41.88	2687	0	10.1
3:41:19 PM 2:31:55 PM	34.01	2043	0	95	42.06	2687	0	8.8
3:45:20 PM 2:31:57 PM	34.11	2046	0	93.7	42.17	2692	0	8
3:49:22 PM 2:31:59 PM	34.17	2045	0	93	42.11	2698	0	8.5
3:53:22 PM 2:32:01 PM	34.11	2040	0	93.8	42.08	2687	0	8.7
3:57:23 PM 2:32:03 PM	34.1	2044	0	93.9	42.15	2695	0	8.2
4:01:24 PM 2:32:05 PM	34.12	2045	0	93.5	42.2	2696	0	7.8
4:05:25 PM 2:32:07 PM	34.14	2049	0	93.4	42.79	2711	0	3.6
4:09:26 PM 2:32:09 PM	34.15	2043	0	93.2	42.91	2719	0	2.8
4:13:27 PM 2:32:11 PM	34.04	2041	0	94.6	42.78	2723	0	3.6
4:17:28 PM 2:32:13 PM	34.02	2044	0	94.8	42.9	2726	0	2.8
4:21:29 PM 2:32:15 PM	34.14	2041	0	93.4	42.78	2715	0	3.6
4:25:30 PM 2:32:17 PM	34.18	2039	0	92.9	42.74	2713	0	3.9
4:29:31 PM 2:32:19 PM	34.08	2042	0	94.1	42.62	2716	0	4.8
4:33:32 PM 2:32:21 PM	34.22	2039	0	92.3	42.72	2714	0	4.1
4:37:33 PM 2:32:23 PM	34.08	2037	5	94.1	42.89	2724	2	2.9
4:41:34 PM 2:32:25 PM	34.14	2041	6	93.3	42.81	2713	2	3.5
4:45:34 PM 2:32:27 PM	34.22	2037	6	92.4	42.8	2716	2	3.5
4:49:35 PM 2:32:29 PM	34.14	2043	6	93.3	42.81	2717	2	3.4
4:53:37 PM 2:32:31 PM	33.08	1971	12	107.3	42.62	2668	2	4.8
4:57:37 PM 2:32:33 PM	30.96	1865	12	138.8	42.79	2678	1	3.6
5:01:38 PM 2:32:35 PM	31.41	1859	7	131.7	42.44	2659	2	6.1
5:05:39 PM 2:32:37 PM	33.16	1948	6	106.2	31.54	2154	6	116.4
5:09:40 PM 2:32:39 PM	33.77	1986	6	98	30.48	2075	4	132.4
5:13:41 PM 2:32:41 PM	33.97	1992	6	95.5	30.84	2082	3	126.9
5:17:42 PM 2:32:43 PM	34.2	1996	7	92.6	32.83	2222	1	98.7
5:21:43 PM 2:32:45 PM	34.15	2002	5	93.2	32.99	2235	0	96.7
5:25:44 PM 2:32:47 PM	34.16	2004	0	93.1	33.18	2240	0	94.2
5:29:45 PM 2:32:49 PM	34.15	2008	0	93.2	33.14	2248	0	94.7
5:33:46 PM 2:32:51 PM	34.12	2008	0	93.6	33.11	2244	0	95.2
5:37:47 PM 2:32:53 PM	34.11	2009	0	93.7	33.06	2249	0	95.8
5:41:48 PM 2:32:55 PM	34.17	2006	0	93	33.18	2252	0	94.2
5:45:49 PM 2:32:57 PM	34.35	2018	0	90.6	33.22	2252	0	93.7
5:49:49 PM 2:32:59 PM	34.34	2017	0	90.8	33.22	2252	0	93.7
5:53:50 PM 2:33:01 PM	34.28	2020	0	91.6	33.21	2250	0	93.8
5:57:52 PM 2:33:03 PM	34.33	2019	0	90.9	33.24	2248	0	93.4
6:01:52 PM 2:33:05 PM	34.28	2025	0	91.6	33.13	2252	0	94.8
6:05:53 PM 2:33:07 PM	34.37	2020	0	90.5	33.17	2252	0	94.3
6:09:54 PM 2:33:09 PM	34.41	2025	0	89.9	33.24	2253	0	93.4
6:13:55 PM 2:33:11 PM	34.43	2020	0	89.7	33.24	2251	0	93.4
6:17:56 PM 2:33:13 PM	34.31	2022	0	91.3	33.17	2245	0	94.3
6:21:57 PM 2:33:15 PM	34.34	2022	0	90.9	33.25	2251	0	93.3
6:25:58 PM 2:33:17 PM	34.46	2021	0	89.4	33.43	2247	0	91.1
6:29:59 PM 2:33:19 PM	34.43	2026	0	89.7	33.26	2246	0	93.2
6:34:00 PM 2:33:21 PM	34.46	2024	0	89.3	33.25	2250	0	93.3
6:38:01 PM 2:33:23 PM	34.53	2025	0	88.4	33.33	2249	0	92.3
6:42:02 PM 2:33:25 PM	34.6	2025	0	87.6	33.19	2249	0	94
6:46:03 PM 2:33:27 PM	34.55	2024	0	88.3	33.26	2249	0	93.1
6:50:04 PM 2:33:29 PM	34.57	2026	0	88	33.21	2250	0	93.8
6:54:04 PM 2:33:31 PM	34.6	2023	0	87.7	33.2	2251	0	94
6:58:05 PM 2:33:33 PM	34.4	2022	0	90	33.25	2246	0	93.3
7:02:07 PM 2:33:35 PM	34.65	2028	0	87	33.33	2244	0	92.3
7:06:07 PM 2:33:37 PM	34.46	2028	0	89.4	33.2	2246	0	94
7:10:08 PM 2:33:39 PM	34.5	2023	0	88.8	33.28	2248	0	92.9
7:14:09 PM 2:33:41 PM	34.61	2026	0	87.5	33.19	2247	0	94
7:18:10 PM 2:33:43 PM	34.47	2026	0	89.2	33.2	2246	0	94
7:22:11 PM 2:33:45 PM	34.57	2025	0	87.9	33.34	2244	0	92.1
7:26:12 PM 2:33:47 PM	34.58	2026	0	87.9	33.26	2245	0	93.2
7:30:13 PM 2:33:49 PM	34.72	2024	0	86.2	33.1	2242	0	95.3
7:34:14 PM 2:33:51 PM	34.65	2022	0	87	33.25	2241	0	93.3
7:38:15 PM 2:33:53 PM	34.66	2025	3	86.9	33.28	2238	1	92.9
7:42:16 PM 2:33:55 PM	34.58	2027	4	87.9	33.31	2236	1	92.6
7:46:17 PM 2:33:57 PM	34.71	2026	4	86.2	33.39	2236	0	91.5
7:50:18 PM 2:33:59 PM	34.74	2026	0	86	33.28	2242	0	93
7:54:19 PM 2:34:01 PM	34.59	2025	0	87.8	33.21	2241	0	93.9
7:58:19 PM 2:34:03 PM	34.74	2028	0	85.9	33.36	2245	0	92
8:02:20 PM 2:34:05 PM	34.69	2028	0	86.6	33.17	2242	0	94.3
8:06:22 PM 2:34:07 PM	34.82	2031	0	85	33.42	2239	0	91.2
8:10:22 PM 2:34:09 PM	34.7	2033	0	86.5	33.15	2240	0	94.6
8:14:23 PM 2:34:11 PM	34.72	2030	0	86.2	33.35	2242	0	92.1
8:18:24 PM 2:34:13 PM	34.87	2028	0	84.3	33.28	2243	0	92.9
8:22:25 PM 2:34:15 PM	34.75	2028	0	85.8	33.62	2251	0	88.7
8:26:26 PM 2:34:17 PM	34.73	2030	0	86	33.82	2264	0	86.2
8:30:27 PM 2:34:19 PM	34.86	2029	0	84.4	33.56	2268	0	89.4
8:34:28 PM 2:34:21 PM	34.84	2033	0	84.8	33.74	2278	0	87.3
8:38:29 PM 2:34:23 PM	35	2035	0	82.8	33.94	2279	0	84.8
8:42:30 PM 2:34:25 PM	34.84	2037	0	84.7	33.89	2283	0	85.4
8:46:31 PM 2:34:27 PM	34.8	2033	0	85.2	34.11	2287	0	82.8
8:50:32 PM 2:34:29 PM	34.79	2041	0	85.3	34.13	2289	0	82.6
8:54:33 PM 2:34:31 PM	34.82	2039	0	84.9	34.15	2284	0	82.3
8:58:34 PM 2:34:33 PM	34.86	2036	0	84.4	34.19	2293	0	81.8
9:02:35 PM 2:34:35 PM	34.96	2034	0	83.3	34.18	2291	0	81.9
9:06:35 PM 2:34:37 PM	35.03	2033	0	82.4	33.97	2268	0	84.4
9:10:37 PM 2:34:39 PM	34.81	2035	0	85.1	33.88	2259	0	85.6
9:14:37 PM 2:34:41 PM	34.89	2031	0	84.2	34.06	2277	0	83.4
9:18:38 PM 2:34:43 PM	34.85	2030	0	84.6	34.18	2282	0	82
9:22:39 PM 2:34:45 PM	35	2033	0	82.8	34.02	2281	0	83.9
9:26:40 PM 2:34:47 PM	35.15	2034	0	81.1	34.21	2284	0	81.6
9:30:41 PM 2:34:49 PM	34.97	2039	0	83.1	34.35	2287	0	80
9:34:42 PM 2:34:51 PM	34.91	2037	0	83.9	34.3	2290	0	80.5
9:38:43 PM 2:34:53 PM	34.97	2036	0	83.2	34.36	2293	0	79.9
9:42:44 PM 2:34:55 PM	35.16	2038	0	80.9	34.34	2290	0	80.1
9:46:45 PM 2:34:57 PM	34.97	2040	0	83.2	34.4	2294	0	79.4
9:50:46 PM 2:34:59 PM	35.01	2039	0	82.7	34.44	2299	0	78.9
9:54:47 PM 2:35:01 PM	35.12	2038	0	81.4	34.39	2295	0	79.5
9:58:48 PM 2:35:03 PM	35.1	2037	0	81.6	34.26	2291	0	81
10:02:49 PM 2:35:05 PM	35.05	2036	0	82.2	34.37	2296	0	79.7
10:06:50 PM 2:35:07 PM	35.03	2038	0	82.4	34.34	2294	0	80.1
10:10:50 PM 2:35:09 PM	35.02	2040	0	82.5	34.33	2284	0	80.2
10:14:52 PM 2:35:11 PM	34.93	2038	0	83.7	34.5	2294	0	78.2
10:18:52 PM 2:35:13 PM	35.15	2038	0	81.1	34.55	2294	0	77.6
10:22:53 PM 2:35:15 PM	35.16	2041	0	80.9	34.53	2295	0	77.9
10:26:54 PM 2:35:17 PM	35.18	2038	0	80.7	34.45	2291	0	78.8
10:30:55 PM 2:35:19 PM	35.14	2038	0	81.2	34.41	2290	0	79.2
10:34:56 PM 2:35:21 PM	35.28	2043	0	79.5	34.52	2290	0	77.9
10:38:57 PM 2:35:23 PM	35.11	2037	0	81.5	34.51	2290	0	78
10:42:58 PM 2:35:25 PM	35.17	2038	0	80.8	34.51	2289	0	78.1
10:46:59 PM 2:35:27 PM	35.26	2044	0	79.7	34.49	2297	0	78.3
10:51:00 PM 2:35:29 PM	35.17	2041	0	80.8	34.5	2301	0	78.2
10:55:01 PM 2:35:31 PM	35.33	2041	0	79	34.52	2294	0	78
10:59:02 PM 2:35:33 PM	35.32	2038	0	79	34.55	2291	0	77.6
11:03:03 PM 2:35:35 PM	35.35	2040	0	78.7	34.71	2295	0	75.8
11:07:04 PM 2:35:37 PM	35.2	2036	0	80.4	34.65	2298	0	76.4
11:11:05 PM 2:35:39 PM	35.26	2044	0	79.7	34.66	2299	0	76.3
11:15:05 PM 2:35:41 PM	35.24	2045	0	80	34.54	2297	0	77.7
11:19:07 PM 2:35:43 PM	35.37	2041	0	78.5	34.61	2300	0	76.9
11:23:07 PM 2:35:45 PM	35.14	2043	0	81.1	34.73	2301	0	75.6
11:27:08 PM 2:35:47 PM	35.44	2045	0	77.6	34.71	2305	0	75.8
11:31:09 PM 2:35:49 PM	35.37	2042	0	78.5	34.61	2302	0	76.9
11:35:10 PM 2:35:51 PM	35.43	2037	0	77.8	34.59	2304	0	77.1
11:39:11 PM 2:35:53 PM	35.36	2045	0	78.6	34.75	2303	0	75.4
11:43:12 PM 2:35:55 PM	35.39	2044	0	78.2	34.69	2305	0	76
11:47:13 PM 2:35:57 PM	35.54	2046	0	76.5	34.85	2300	0	74.3
11:51:14 PM 2:35:59 PM	35.41	2040	0	78	34.78	2303	0	75.1
11:55:15 PM 2:36:01 PM	35.31	2044	0	79.1	34.71	2297	0	75.8
11:59:16 PM 2:36:03 PM	35.4	2048	0	78.1	34.87	2304	0	74
12:03:17 AM 2:36:05 PM	35.49	2042	0	77.1	34.76	2293	0	75.3
12:07:18 AM 2:36:07 PM	35.45	2042	0	77.5	34.79	2296	0	74.9
12:11:19 AM 2:36:09 PM	35.42	2044	0	77.8	34.76	2297	0	75.2
12:15:20 AM 2:36:11 PM	35.55	2041	0	76.4	34.73	2299	0	75.6
12:19:20 AM 2:36:13 PM	35.58	2042	0	76	34.82	2291	0	74.6
12:23:22 AM 2:36:15 PM	35.48	2041	0	77.2	34.8	2295	0	74.8
12:27:22 AM 2:36:17 PM	35.58	2047	0	76	34.84	2296	0	74.3
12:31:23 AM 2:36:19 PM	35.57	2048	0	76.2	34.86	2297	0	74.1
12:35:24 AM 2:36:21 PM	35.56	2045	0	76.3	34.93	2299	0	73.3
12:39:26 AM 2:36:23 PM	35.45	2046	0	77.5	34.91	2300	0	73.5
12:43:26 AM 2:36:25 PM	35.61	2044	0	75.6	34.95	2297	0	73.1
12:47:27 AM 2:36:27 PM	35.51	2048	0	76.9	34.9	2301	0	73.7
12:51:28 AM 2:36:29 PM	35.66	2049	0	75.2	35.03	2304	0	72.2
12:55:29 AM 2:36:31 PM	35.57	2049	0	76.1	34.9	2299	0	73.7
12:59:30 AM 2:36:33 PM	35.63	2045	0	75.5	35	2304	0	72.5
1:03:31 AM 2:36:35 PM	35.71	2050	0	74.6	35.02	2312	0	72.3
1:07:32 AM 2:36:37 PM	35.71	2046	0	74.5	34.95	2306	0	73.1
1:11:33 AM 2:36:39 PM	35.63	2053	0	75.4	35.07	2308	0	71.7
1:15:34 AM 2:36:41 PM	35.67	2047	0	75	35.17	2310	0	70.6
1:19:35 AM 2:36:43 PM	35.7	2052	0	74.6	34.94	2307	0	73.2
1:23:36 AM 2:36:45 PM	35.63	2051	0	75.4	35.03	2306	0	72.2
1:27:37 AM 2:36:47 PM	35.75	2053	0	74.1	35.22	2315	0	70.1
1:31:37 AM 2:36:49 PM	35.75	2056	0	74.1	35.15	2313	0	70.8
1:35:38 AM 2:36:51 PM	35.82	2052	0	73.3	35.12	2315	0	71.2
1:39:39 AM 2:36:53 PM	35.81	2060	0	73.4	35.2	2315	0	70.4
1:43:41 AM 2:36:55 PM	35.83	2060	0	73.2	35.12	2313	0	71.2
1:47:41 AM 2:36:57 PM	35.77	2060	0	73.8	35.18	2310	0	70.5
1:51:42 AM 2:36:59 PM	35.76	2061	0	74	35.08	2318	0	71.6
1:55:43 AM 2:37:01 PM	35.85	2062	0	73	35.29	2318	0	69.3
1:59:44 AM 2:37:03 PM	35.77	2064	0	73.8	35.23	2322	0	70
2:03:45 AM 2:37:05 PM	35.96	2062	0	71.7	35.16	2325	0	70.7
2:07:46 AM 2:37:07 PM	35.91	2064	0	72.3	35.23	2317	0	70
2:11:47 AM 2:37:09 PM	35.78	2067	0	73.7	35.16	2324	0	70.8
2:15:48 AM 2:37:11 PM	35.91	2065	0	72.3	35.22	2325	0	70.1
2:19:49 AM 2:37:13 PM	35.89	2065	0	72.6	35.33	2323	0	68.8
2:23:50 AM 2:37:15 PM	35.95	2066	0	71.9	35.48	2328	0	67.3
2:27:51 AM 2:37:17 PM	35.8	2064	0	73.6	35.39	2324	0	68.2
2:31:52 AM 2:37:19 PM	35.85	2064	0	73	35.46	2327	0	67.4
2:35:53 AM 2:37:21 PM	35.96	2068	0	71.8	35.41	2326	0	68.1
2:39:53 AM 2:37:23 PM	35.75	2069	0	74.1	35.52	2324	0	66.8
2:43:54 AM 2:37:25 PM	35.87	2068	0	72.7	35.51	2332	0	66.9
2:47:56 AM 2:37:27 PM	35.88	2068	0	72.7	35.41	2328	0	68
2:51:56 AM 2:37:29 PM	35.97	2070	0	71.6	35.43	2330	0	67.8
2:55:57 AM 2:37:31 PM	35.93	2071	0	72.1	35.46	2332	0	67.4
2:59:58 AM 2:37:33 PM	36.02	2069	0	71.1	35.48	2330	0	67.3
3:03:59 AM 2:37:35 PM	35.93	2076	0	72.1	35.41	2336	0	68
3:08:00 AM 2:37:37 PM	35.97	2071	0	71.6	35.63	2332	0	65.7
3:12:01 AM 2:37:39 PM	36.16	2075	0	69.5	35.44	2334	0	67.7
3:16:02 AM 2:37:41 PM	36.08	2072	0	70.4	35.51	2336	0	67
3:20:03 AM 2:37:43 PM	36.17	2073	0	69.5	35.45	2338	0	67.6
3:24:04 AM 2:37:45 PM	35.99	2074	0	71.4	35.66	2337	0	65.3
3:28:05 AM 2:37:47 PM	36.04	2075	0	70.9	35.43	2339	0	67.8
3:32:06 AM 2:37:49 PM	36.05	2072	0	70.7	35.61	2337	0	65.8
3:36:07 AM 2:37:51 PM	35.94	2076	0	72	35.62	2333	0	65.8
3:40:08 AM 2:37:53 PM	36.19	2079	0	69.2	35.55	2338	0	66.5
3:44:09 AM 2:37:55 PM	36.22	2079	0	68.8	35.65	2341	0	65.4
3:48:09 AM 2:37:57 PM	36.24	2083	0	68.6	35.65	2333	0	65.4
3:52:11 AM 2:37:59 PM	36.18	2081	0	69.3	35.5	2342	0	67.1
3:56:11 AM 2:38:01 PM	36.09	2077	0	70.3	35.73	2336	0	64.6
4:00:12 AM 2:38:03 PM	36.16	2077	0	69.6	35.7	2343	0	64.8
4:04:13 AM 2:38:05 PM	36.21	2078	0	68.9	35.47	2338	0	67.4
4:08:14 AM 2:38:07 PM	36.08	2079	0	70.4	35.68	2338	0	65.1
4:12:15 AM 2:38:09 PM	36.15	2075	0	69.6	35.71	2348	0	64.8
4:16:16 AM 2:38:11 PM	36.19	2081	0	69.1	35.57	2342	0	66.3
4:20:17 AM 2:38:13 PM	36.24	2076	0	68.6	35.94	2341	0	62.3
4:24:18 AM 2:38:15 PM	36.08	2078	0	70.4	35.84	2339	0	63.4
4:28:19 AM 2:38:17 PM	36.22	2077	0	68.9	35.77	2338	0	64.1
4:32:20 AM 2:38:19 PM	36.15	2075	0	69.7	35.66	2339	0	65.3
4:36:21 AM 2:38:21 PM	36.18	2082	0	69.3	35.66	2340	0	65.3
4:40:22 AM 2:38:23 PM	36.22	2078	0	68.8	35.76	2339	0	64.2
4:44:23 AM 2:38:25 PM	36.3	2082	0	68	35.85	2349	0	63.3
4:48:23 AM 2:38:27 PM	36.36	2080	0	67.4	35.98	2339	0	61.9
4:52:24 AM 2:38:29 PM	36.17	2085	0	69.4	36	2349	0	61.7
4:56:26 AM 2:38:31 PM	36.45	2081	0	66.3	35.79	2352	0	63.9
5:00:26 AM 2:38:33 PM	36.24	2080	0	68.6	35.85	2350	0	63.3
5:04:27 AM 2:38:35 PM	36.42	2081	0	66.7	35.76	2343	0	64.2
5:08:28 AM 2:38:37 PM	36.34	2088	0	67.6	35.88	2353	0	63
5:12:29 AM 2:38:39 PM	36.38	2087	0	67.1	35.9	2345	0	62.8
5:16:30 AM 2:38:41 PM	36.49	2091	0	66	36.03	2353	0	61.4
5:20:31 AM 2:38:43 PM	36.45	2093	0	66.4	36	2354	0	61.7
5:24:32 AM 2:38:45 PM	36.53	2091	0	65.5	35.87	2354	0	63.1
5:28:33 AM 2:38:47 PM	36.43	2094	0	66.6	36.09	2362	0	60.8
5:32:34 AM 2:38:49 PM	36.38	2093	0	67.2	36.04	2354	0	61.3
5:36:35 AM 2:38:51 PM	36.42	2094	0	66.7	35.98	2356	0	62
5:40:36 AM 2:38:53 PM	36.57	2099	0	65.1	35.92	2362	0	62.5
5:44:37 AM 2:38:55 PM	36.53	2097	0	65.5	36.04	2361	0	61.3
5:48:38 AM 2:38:57 PM	36.56	2096	0	65.2	36.08	2359	0	61
5:52:39 AM 2:38:59 PM	36.55	2103	0	65.2	36.13	2367	0	60.3
5:56:39 AM 2:39:01 PM	36.63	2107	0	64.4	35.92	2363	0	62.5
6:00:41 AM 2:39:03 PM	36.43	2101	0	66.6	36.05	2364	0	61.2
6:04:41 AM 2:39:05 PM	36.67	2100	0	64	36.12	2368	0	60.5
6:08:42 AM 2:39:07 PM	36.56	2104	0	65.1	36.13	2363	0	60.4
6:12:43 AM 2:39:09 PM	36.8	2106	0	62.6	36.18	2366	0	59.8
6:16:44 AM 2:39:11 PM	36.67	2106	0	64	36.1	2364	0	60.6
